Catalogue Reference,"29.4919194, -98.4271969"
HL/PO/JO/10/1/78/19,"51.3916791, -0.2975288"
HL/PO/JO/10/1/78/20,"51.936281, -0.986572"
HL/PO/JO/10/1/78/21,"44.475278, -72.702222"
HL/PO/JO/10/1/78/22,"51.996795, -0.910303"
HL/PO/JO/10/1/78/23,"53.791665, -1.848581"
HL/PO/JO/10/1/78/24,"51.989984, -1.046743"
HL/PO/JO/10/1/78/25,"52.034968, -1.122224"
HL/PO/JO/10/1/78/26,"51.476821, -0.863167"
HL/PO/JO/10/1/78/27,"52.008352, -1.049542"
HL/PO/JO/10/1/78/28,"51.256659, -2.185772"
HL/PO/JO/10/1/78/29,"51.872722, -0.771721"
HL/PO/JO/10/1/78/30,"51.8478747, -0.6643975"
HL/PO/JO/10/1/78/31,"51.756371, -0.6494299"
HL/PO/JO/10/1/78/33,"51.891533, -0.783207"
HL/PO/JO/10/1/78/34,"51.803647, -0.693951"
HL/PO/JO/10/1/78/35,"51.951274, -0.7799469"
HL/PO/JO/10/1/78/36,"52.083043, -0.195751"
HL/PO/JO/10/1/78/37,"51.8632739, -0.581471"
HL/PO/JO/10/1/78/38,"42.4115819, -83.2963707"
HL/PO/JO/10/1/78/39,"51.8265139, -0.820544"
HL/PO/JO/10/1/78/40,"51.919129, -0.828129"
HL/PO/JO/10/1/78/41,"51.972263, -0.880798"
HL/PO/JO/10/1/78/42,"51.969112, -0.849995"
HL/PO/JO/10/1/78/43,"51.837421, -0.628359"
HL/PO/JO/10/1/78/44,"51.918248, -0.673847"
HL/PO/JO/10/1/78/45,"51.7519361, -0.637961"
HL/PO/JO/10/1/78/46,"51.870689, -0.6885019"
HL/PO/JO/10/1/78/47,"51.834248, -0.642792"
HL/PO/JO/10/1/78/48,"50.2923339, -3.655792"
HL/PO/JO/10/1/78/49,"51.93415, -0.716596"
HL/PO/JO/10/1/78/50,"51.92678, -0.761755"
HL/PO/JO/10/1/78/51,"51.942307, -0.836286"
HL/PO/JO/10/1/78/53,"52.968716, -2.682045"
HL/PO/JO/10/1/78/54,"11.5415182, 104.9179596"
HL/PO/JO/10/1/78/55,"51.863999, -0.736082"
HL/PO/JO/10/1/78/56,"51.944859, -0.878737"
HL/PO/JO/10/1/78/58,"52.2062306, 0.1224627"
HL/PO/JO/10/1/79/40,"50.046162, -5.249872"
HL/PO/JO/10/1/79/41,"50.115124, -5.378467"
HL/PO/JO/10/1/79/42,"37.774817, -7.836572"
HL/PO/JO/10/1/79/43,"50.055223, -5.277055"
HL/PO/JO/10/1/79/44,"50.217312, -5.173211"
HL/PO/JO/10/1/79/45,"50.101593, -5.274996"
HL/PO/JO/10/1/79/46,"49.969541, -5.194371"
HL/PO/JO/10/1/79/47,"27.516667, 86.766667"
HL/PO/JO/10/1/79/48,"50.08228, -5.128725"
HL/PO/JO/10/1/79/49,"50.0719699, -5.2038383"
HL/PO/JO/10/1/79/50,"50.105263, -5.096071"
HL/PO/JO/10/1/79/51,"50.027991, -5.240468"
HL/PO/JO/10/1/79/52,"50.177118, -5.058071"
HL/PO/JO/10/1/79/53,"50.169173, -5.107088"
HL/PO/JO/10/1/79/54,"50.2114653, -5.1183705"
HL/PO/JO/10/1/79/55,"50.004439, -5.215018"
HL/PO/JO/10/1/79/56,"49.993555, -5.181832"
HL/PO/JO/10/1/79/57,"50.090015, -5.101744"
HL/PO/JO/10/1/79/58,"50.050226, -5.0884919"
HL/PO/JO/10/1/79/59,"50.0721735, -5.1671906"
HL/PO/JO/10/1/79/60,"50.110512, -5.308118"
HL/PO/JO/10/1/79/62,"50.133233, -5.250158"
HL/PO/JO/10/1/80/1,"50.076007, -5.626154"
HL/PO/JO/10/1/80/2,"50.21277, -5.2947749"
HL/PO/JO/10/1/80/3,"50.162291, -5.2958619"
HL/PO/JO/10/1/80/4,"50.132605, -5.523923"
HL/PO/JO/10/1/80/5,"50.187582, -5.370383"
HL/PO/JO/10/1/80/6,"50.221649, -5.38457"
HL/PO/JO/10/1/80/7,"50.248244, -5.266491"
HL/PO/JO/10/1/80/8,"50.183852, -5.4404009"
HL/PO/JO/10/1/80/9,"39.5585686, -111.8618734"
HL/PO/JO/10/1/80/10,"50.143902, -5.493699"
HL/PO/JO/10/1/80/11,"50.133524, -5.565727"
HL/PO/JO/10/1/80/12,"50.125077, -5.463955"
