Catalogue Reference,Title,Date,,Longitude,Latitude,Place co-ordinates,Landing Page URL,External resource URL
HL/PO/JO/10/1/78/10,Protestation Return - Buckinghamshire - Buckingham Hundred - Foxcott.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/11,Protestation Return - Buckinghamshire - Buckingham Hundred - Hillesden.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/12,Protestation Return - Buckinghamshire - Buckingham Hundred - Leckhampstead.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/13,Protestation Return - Buckinghamshire - Buckingham Hundred - Lillingston Dayrell.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/14,Protestation Return - Buckinghamshire - Buckingham Hundred - Marsh Gibbon.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/15,Protestation Return - Buckinghamshire - Buckingham Hundred - Moreton.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/16,Protestation Return - Buckinghamshire - Buckingham Hundred - Padbury.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/17,Protestation Return - Buckinghamshire - Buckingham Hundred - Preston Bissett.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/18,Protestation Return - Buckinghamshire - Buckingham Hundred - Radclive cum Chackmore.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/19,Protestation Return - Buckinghamshire - Buckingham Hundred - Shalston.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/20,Protestation Return - Buckinghamshire - Buckingham Hundred - Steeple Claydon.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/21,Protestation Return - Buckinghamshire - Buckingham Hundred - Stowe.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/22,Protestation Return - Buckinghamshire - Buckingham Hundred - Thornborough.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/23,Protestation Return - Buckinghamshire - Buckingham Hundred - Thornton.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/24,Protestation Return - Buckinghamshire - Buckingham Hundred - Tingewick.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/25,Protestation Return - Buckinghamshire - Buckingham Hundred - Turweston.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/26,Protestation Return - Buckinghamshire - Buckingham Hundred - Twyford.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/27,Protestation Return - Buckinghamshire - Buckingham Hundred - Water Stratford.,1642,Protestation Returns,,,,,
