HL/PO/JO/10/1/80/33,"50.684222, -4.66449"
HL/PO/JO/10/1/80/34,"50.57825, -4.71258"
HL/PO/JO/10/1/80/35,
HL/PO/JO/10/1/80/36,"50.68781, -4.59614"
HL/PO/JO/10/1/80/37,"50.76719, -4.55047"
HL/PO/JO/10/1/80/38,"50.63409, -4.52923"
HL/PO/JO/10/1/80/39,"50.743938, -4.62489"
HL/PO/JO/10/1/80/40,"50.7006, -4.6733"
HL/PO/JO/10/1/80/41,"50.664749, -4.7424"
HL/PO/JO/10/1/80/42,
HL/PO/JO/10/1/80/43,"50.67808, -4.71707"
HL/PO/JO/10/1/79/40,"50.04656, -5.24487"
HL/PO/JO/10/1/79/41,"50.11279, -5.38215"
HL/PO/JO/10/1/79/42,"49.983299, -5.2"
HL/PO/JO/10/1/79/43,"50.05991, -5.28168"
HL/PO/JO/10/1/79/44,"50.2174, -5.17071"
HL/PO/JO/10/1/79/45,"50.10579, -5.267"
HL/PO/JO/10/1/79/46,"49.966702, -5.2"
HL/PO/JO/10/1/79/47,
HL/PO/JO/10/1/79/48,"50.08275, -5.12795"
HL/PO/JO/10/1/79/49,"50.078999, -5.20709"
HL/PO/JO/10/1/79/50,"50.10629, -5.09536"
HL/PO/JO/10/1/79/51,
HL/PO/JO/10/1/79/52,
HL/PO/JO/10/1/79/53,"50.16878, -5.1054"
HL/PO/JO/10/1/79/54,"50.21283, -5.11863"
HL/PO/JO/10/1/79/55,"50.00342, -5.20134"
HL/PO/JO/10/1/79/56,"49.99399, -5.18288"
HL/PO/JO/10/1/79/57,"50.09014, -5.10081"
HL/PO/JO/10/1/79/58,"50.04962, -5.08886"
HL/PO/JO/10/1/79/59,"50.072436, -5.166605"
HL/PO/JO/10/1/79/60,"50.11361, -5.30794"
HL/PO/JO/10/1/79/61,
HL/PO/JO/10/1/79/62,"50.13454, -5.24724"
HL/PO/JO/10/1/80/1,"50.07451, -5.6226"
HL/PO/JO/10/1/80/2,"50.21367, -5.30118"
HL/PO/JO/10/1/80/3,"50.16343, -5.29562"
HL/PO/JO/10/1/80/4,"50.13216, -5.51977"
HL/PO/JO/10/1/80/5,"50.18751, -5.37344"
HL/PO/JO/10/1/80/6,"50.22116, -5.38553"
HL/PO/JO/10/1/80/7,"50.2468, -5.26732"
HL/PO/JO/10/1/80/8,"50.18353, -5.44007"
HL/PO/JO/10/1/80/9,
HL/PO/JO/10/1/80/10,"50.14469, -5.49579"
HL/PO/JO/10/1/80/11,"50.13316, -5.56575"
HL/PO/JO/10/1/80/12,"50.125894, -5.467145"
HL/PO/JO/10/1/80/13,"50.16068, -5.63704"
HL/PO/JO/10/1/80/14,"50.090069, -5.54702"
HL/PO/JO/10/1/80/15,"50.11863, -5.53726"
HL/PO/JO/10/1/80/16,
HL/PO/JO/10/1/80/17,"50.19591, -5.40896"
HL/PO/JO/10/1/80/18,"50.23252, -5.2294"
HL/PO/JO/10/1/80/19,"50.16511, -5.42843"
HL/PO/JO/10/1/80/20,"51.45024, -3.41565"
HL/PO/JO/10/1/80/21,"50.21033, -5.48568"
HL/PO/JO/10/1/80/22,
