Catalogue Reference,Title,Date,,Longitude,Latitude,Place co-ordinates,Landing Page URL,External resource URL,target,NominatimLL,YahooLL
HL/PO/JO/10/1/85/64,Protestation Return - Devon - Haytor Hundred - Woodland.,1642,Protestation Returns,,,,,,Woodland,"54.6333849, -1.8931422",<null>
HL/PO/JO/10/1/85/65,"Devon - Stanborough (North Division) Hundred - Brent, South.",1642,Protestation Returns,,,,,,"Brent, South","51.5363916, -0.2878064",<null>
HL/PO/JO/10/1/85/66,Devon - Stanborough (North Division) Hundred - Dartington.,1642,Protestation Returns,,,,,,Dartington,"50.4500533, -3.7104581",<null>
HL/PO/JO/10/1/85/67,Devon - Stanborough (North Division) Hundred - Diptford.,1642,Protestation Returns,,,,,,Diptford,"50.3966537, -3.7889287",<null>
HL/PO/JO/10/1/85/68,"Devon - Stanborough (North Division) Hundred - Huish, North.",1642,Protestation Returns,,,,,,"Huish, North","50.8803305, -4.0872305",<null>
HL/PO/JO/10/1/85/69,Devon - Stanborough (North Division) Hundred - Morleigh.,1642,Protestation Returns,,,,,,Morleigh,"54.1825841, -2.7204832",<null>
HL/PO/JO/10/1/85/70,Devon - Stanborough (North Division) Hundred - Rattery.,1642,Protestation Returns,,,,,,Rattery,"50.4409699, -3.7760785",<null>
HL/PO/JO/10/1/85/71,"Devon - Stanborough (North Division) Hundred - Stanborough (North Div.), hundred.",1642,Protestation Returns,,,,,,"Stanborough (North Div), hundred",<null>,<null>
HL/PO/JO/10/1/86/1,Protestation Return - Devon - Treignbridge Hundred - Bickington.,1642,Protestation Returns,,,,,,Bickington,"50.5413584, -3.6960155",<null>
HL/PO/JO/10/1/86/2,"Protestation Return - Devon - Treignbridge Hundred - Bovey, North.",1642,Protestation Returns,,,,,,"Bovey, North","51.5970325, -0.1921571",<null>
HL/PO/JO/10/1/86/3,Protestation Return - Devon - Treignbridge Hundred - Bovey South [or Tracy].,1642,Protestation Returns,,,,,,Bovey South ,"51.5970325, -0.1921571",<null>
HL/PO/JO/10/1/86/4,Protestation Return - Devon - Treignbridge Hundred - Hennock.,1642,Protestation Returns,,,,,,Hennock,"50.6158319, -3.6546701",<null>
HL/PO/JO/10/1/86/5,Protestation Return - Devon - Treignbridge Hundred - Highweek.,1642,Protestation Returns,,,,,,Highweek,"50.5368587, -3.6275833",<null>
HL/PO/JO/10/1/86/6,Protestation Return - Devon - Treignbridge Hundred - Ideford.,1642,Protestation Returns,,,,,,Ideford,"50.585049, -3.5661825",<null>
HL/PO/JO/10/1/86/7,Protestation Return - Devon - Treignbridge Hundred - Ilsington.,1642,Protestation Returns,,,,,,Ilsington,"50.572755, -3.717332",<null>
HL/PO/JO/10/1/86/8,Protestation Return - Devon - Treignbridge Hundred - Kingsteignton.,1642,Protestation Returns,,,,,,Kingsteignton,"50.549595, -3.5955735",<null>
HL/PO/JO/10/1/86/9,Protestation Return - Devon - Treignbridge Hundred - Lustleigh.,1642,Protestation Returns,,,,,,Lustleigh,"50.618024, -3.7193122",<null>
HL/PO/JO/10/1/86/10,Protestation Return - Devon - Treignbridge Hundred - Manaton.,1642,Protestation Returns,,,,,,Manaton,"50.6172738, -3.7676421",<null>
HL/PO/JO/10/1/86/11,Protestation Return - Devon - Treignbridge Hundred - Moreton Hampstead.,1642,Protestation Returns,,,,,,Moreton Hampstead,"51.55713895, -0.180983155882354",<null>
HL/PO/JO/10/1/86/12,Protestation Return - Devon - Treignbridge Hundred - Teigngrace.,1642,Protestation Returns,,,,,,Teigngrace,"50.5537665, -3.6259893",<null>
HL/PO/JO/10/1/86/13,Protestation Return - Devon - Exminster (Part Only) Hundred - Ashcombe.,1642,Protestation Returns,,,,,,Ashcombe,"50.6058344, -3.5367719",<null>
HL/PO/JO/10/1/86/14,Protestation Return - Devon - Exminster (Part Only) Hundred - Ashton.,1642,Protestation Returns,,,,,,Ashton,"52.637872, -0.3746865",<null>
HL/PO/JO/10/1/86/15,Protestation Return - Devon - Exminster (Part Only) Hundred - Bishopsteignton.,1642,Protestation Returns,,,,,,Bishopsteignton,"50.5527444, -3.5443661",<null>
HL/PO/JO/10/1/86/16,Protestation Return - Devon - Exminster (Part Only) Hundred - Chudleigh.,1642,Protestation Returns,,,,,,Chudleigh,"50.6046345, -3.6004981",<null>
HL/PO/JO/10/1/86/17,Protestation Return - Devon - Exminster (Part Only) Hundred - Dawlish.,1642,Protestation Returns,,,,,,Dawlish,"50.5797391, -3.468931",<null>
HL/PO/JO/10/1/86/18,Protestation Return - Devon - Exminster (Part Only) Hundred - Doddiscombsleigh.,1642,Protestation Returns,,,,,,Doddiscombsleigh,"50.66875, -3.6229313",<null>
HL/PO/JO/10/1/86/19,"Protestation Return - Devon - Exminster (Part Only) Hundred - Teignmouth, East.",1642,Protestation Returns,,,,,,"Teignmouth, East","50.5462698, -3.4959273",<null>
HL/PO/JO/10/1/86/20,Protestation Return - Devon - Exminster (Part Only) Hundred - Teignmouth West.,1642,Protestation Returns,,,,,,Teignmouth West,"50.5462698, -3.4959273",<null>
HL/PO/JO/10/1/86/21,Protestation Return - Devon - Exminster (Part Only) Hundred - Trusham.,1642,Protestation Returns,,,,,,Trusham,"50.6278335, -3.6209457",<null>
HL/PO/JO/10/1/86/22,Protestation Return - Devon - Wondford (Part Only) Hundred - Combeinteignhead.,1642,Protestation Returns,,,,,,Combeinteignhead,"50.533881, -3.5511021",<null>
HL/PO/JO/10/1/86/23,"Protestation Return - Devon - Wondford (Part Only) Hundred - Ogwell, East.",1642,Protestation Returns,,,,,,"Ogwell, East","50.5187635, -3.6390217",<null>
HL/PO/JO/10/1/86/24,"Protestation Return - Devon - Wondford (Part Only) Hundred - Ogwell, West.",1642,Protestation Returns,,,,,,"Ogwell, West","50.5187635, -3.6390217",<null>
HL/PO/JO/10/1/86/25,Protestation Return - Devon - Wondford (Part Only) Hundred - Stokeinteignhead.,1642,Protestation Returns,,,,,,Stokeinteignhead,"50.5246526, -3.5306454",<null>
HL/PO/JO/10/1/86/26,Protestation Return - Devon - Wondford (Part Only) Hundred - St Nicholas.,1642,Protestation Returns,,,,,,St Nicholas,"51.4607189, -3.3113264",<null>
HL/PO/JO/10/1/86/27,Devon - Stanborough (Part Only) Hundred - Buckfastleigh.,1642,Protestation Returns,,,,,,Buckfastleigh,"50.4815994, -3.7779904",<null>
HL/PO/JO/10/1/86/28,Devon - Stanborough (Part Only) Hundred - Dean Prior.,1642,Protestation Returns,,,,,,Dean Prior,"50.4577535, -3.7896777",<null>
HL/PO/JO/10/1/86/29,Devon - Stanborough (Part Only) Hundred - Holne.,1642,Protestation Returns,,,,,,Holne,"50.5114318, -3.8260012",<null>
HL/PO/JO/10/1/86/30,Protestation Return - Devon - Wonford (Part Only) Hundred - Alphington.,1642,Protestation Returns,,,,,,Alphington,"50.7002282, -3.5356744",<null>
HL/PO/JO/10/1/86/31,Protestation Return - Devon - Wonford (Part Only) Hundred - Brampford Speke.,1642,Protestation Returns,,,,,,Brampford Speke,"50.7766, -3.524283",<null>
HL/PO/JO/10/1/86/32,Protestation Return - Devon - Wonford (Part Only) Hundred - Bridford.,1642,Protestation Returns,,,,,,Bridford,"53.7941567, -1.7494778",<null>
HL/PO/JO/10/1/86/33,Protestation Return - Devon - Wonford (Part Only) Hundred - Chagford.,1642,Protestation Returns,,,,,,Chagford,"50.6730768, -3.8402919",<null>
HL/PO/JO/10/1/86/34,Protestation Return - Devon - Wonford (Part Only) Hundred - Cheriton Bishop.,1642,Protestation Returns,,,,,,Cheriton Bishop,"50.7240275, -3.7396684",<null>
HL/PO/JO/10/1/86/35,Protestation Return - Devon - Wonford (Part Only) Hundred - Christow.,1642,Protestation Returns,,,,,,Christow,"50.6525542, -3.6499136",<null>
HL/PO/JO/10/1/86/36,Protestation Return - Devon - Wonford (Part Only) Hundred - Drewsteigyton.,1642,Protestation Returns,,,,,,Drewsteigyton,<null>,<null>
HL/PO/JO/10/1/86/37,Protestation Return - Devon - Wonford (Part Only) Hundred - Dunsford.,1642,Protestation Returns,,,,,,Dunsford,"50.6901112, -3.6815546",<null>
HL/PO/JO/10/1/86/38,"Protestation Return - Devon - Wonford (Part Only) Hundred - Exeter, All Hallows, Goldsmith Street.",1642,Protestation Returns,,,,,,"Exeter, All Hallows, Goldsmith Street",<null>,<null>
HL/PO/JO/10/1/86/39,"Protestation Return - Devon - Wonford (Part Only) Hundred - Exeter, All Hallows, on the Wales.",1642,Protestation Returns,,,,,,"Exeter, All Hallows, on the Wales",<null>,<null>
HL/PO/JO/10/1/86/40,"Protestation Return - Devon - Wonford (Part Only) Hundred - Exeter, St David's.",1642,Protestation Returns,,,,,,"Exeter, St David's","50.7292168, -3.5436036",<null>
HL/PO/JO/10/1/86/41,"Protestation Return - Devon - Wonford (Part Only) Hundred - Exeter, St Edmund's upon the Bridge.",1642,Protestation Returns,,,,,,"Exeter, St Edmund's upon the Bridge",<null>,<null>
HL/PO/JO/10/1/86/42,"Protestation Return - Devon - Wonford (Part Only) Hundred - Exeter, St George.",1642,Protestation Returns,,,,,,"Exeter, St George","50.5649324, -3.4801235",<null>
HL/PO/JO/10/1/86/43,"Protestation Return - Devon - Wonford (Part Only) Hundred - Exeter, St John's [Bowe].",1642,Protestation Returns,,,,,,"Exeter, St John's ","50.6365399, -3.3439977",<null>
HL/PO/JO/10/1/86/44,"Protestation Return - Devon - Wonford (Part Only) Hundred - Exeter, St Kerrian.",1642,Protestation Returns,,,,,,"Exeter, St Kerrian",<null>,<null>
HL/PO/JO/10/1/86/45,"Protestation Return - Devon - Wonford (Part Only) Hundred - Exeter, St Lawrence.",1642,Protestation Returns,,,,,,"Exeter, St Lawrence","50.7922985, -3.665226",<null>
HL/PO/JO/10/1/86/46,"Protestation Return - Devon - Wonford (Part Only) Hundred - Exeter, St Martin's.",1642,Protestation Returns,,,,,,"Exeter, St Martin's","50.7234595, -3.52992721441177",<null>
HL/PO/JO/10/1/86/47,"Protestation Return - Devon - Wonford (Part Only) Hundred - Exeter, St Mary Arches.",1642,Protestation Returns,,,,,,"Exeter, St Mary Arches","50.72229315, -3.53382161734258",<null>
HL/PO/JO/10/1/86/48,"Protestation Return - Devon - Wonford (Part Only) Hundred - Exeter, St Mary Major.",1642,Protestation Returns,,,,,,"Exeter, St Mary Major",<null>,<null>
HL/PO/JO/10/1/86/49,"Protestation Return - Devon - Wonford (Part Only) Hundred - Exeter, St Mary Steps.",1642,Protestation Returns,,,,,,"Exeter, St Mary Steps","50.71987355, -3.53472537335568",<null>
HL/PO/JO/10/1/86/50,"Protestation Return - Devon - Wonford (Part Only) Hundred - Exeter, St Olave.",1642,Protestation Returns,,,,,,"Exeter, St Olave",<null>,<null>
