Catalogue Reference,Title,Date,,Longitude,Latitude,Place co-ordinates,Landing Page URL,External resource URL,target,NominatimLL,YahooLL
HL/PO/JO/10/1/92/46,Protestation Return - Kent - St Augustine Lathe - Kinghamford Hundred - Bishopsbourne.,1642,Protestation Returns,,,,,,Bishopsbourne,"51.2302312, 1.1336489",<null>
HL/PO/JO/10/1/92/47,Protestation Return - Kent - St Augustine Lathe - Kinghamford Hundred - Kingston.,1642,Protestation Returns,,,,,,Kingston,"51.4096275, -0.3062621",<null>
HL/PO/JO/10/1/92/48,Protestation Return - Kent - St Augustine Lathe - Preston Hundred - Elmstone.,1642,Protestation Returns,,,,,,Elmstone,"51.2984968, 1.2367524",<null>
HL/PO/JO/10/1/92/49,Protestation Return - Kent - St Augustine Lathe - Preston Hundred - Preston juxta Wingham.,1642,Protestation Returns,,,,,,Preston juxta Wingham,<null>,<null>
HL/PO/JO/10/1/92/50,Protestation Return - Kent - St Augustine Lathe - Ringslow Or Thanet Hundred - Birchington.,1642,Protestation Returns,,,,,,Birchington,"51.3738656, 1.3070867",<null>
HL/PO/JO/10/1/92/51,Protestation Return - Kent - St Augustine Lathe - Ringslow Or Thanet Hundred - Minster.,1642,Protestation Returns,,,,,,Minster,"51.423865, 0.8027202",<null>
HL/PO/JO/10/1/92/52,Protestation Return - Kent - St Augustine Lathe - Ringslow Or Thanet Hundred - St John's [Margate].,1642,Protestation Returns,,,,,,St John's ,"55.8106975, -2.1033891",<null>
HL/PO/JO/10/1/92/53,Protestation Return - Kent - St Augustine Lathe - Ringslow Or Thanet Hundred - St Lawrence.,1642,Protestation Returns,,,,,,St Lawrence,"50.5843589, -1.2494587",<null>
HL/PO/JO/10/1/92/54,Protestation Return - Kent - St Augustine Lathe - Ringslow Or Thanet Hundred - St Nicholas at Wade.,1642,Protestation Returns,,,,,,St Nicholas at Wade,"51.3520501, 1.2535235",<null>
HL/PO/JO/10/1/92/55,"Protestation Return - Kent - St Augustine Lathe - Ringslow Or Thanet Hundred - St Peter's, Broadstairs and Reden Street.",1642,Protestation Returns,,,,,,"St Peter's, Broadstairs and Reden Street",<null>,<null>
HL/PO/JO/10/1/92/56,Protestation Return - Kent - St Augustine Lathe - Westgate Hundred - Hackington alias St Stephen.,1642,Protestation Returns,,,,,,Hackington alias St Stephen,<null>,<null>
HL/PO/JO/10/1/92/57,Protestation Return - Kent - St Augustine Lathe - Westgate Hundred - Harbledown.,1642,Protestation Returns,,,,,,Harbledown,"51.2818291, 1.0565754",<null>
HL/PO/JO/10/1/92/58,"Protestation Return - Kent - St Augustine Lathe - Westgate Hundred - Holy Cross, Westgate.",1642,Protestation Returns,,,,,,"Holy Cross, Westgate","51.8568943, 0.433107",<null>
HL/PO/JO/10/1/92/59,Protestation Return - Kent - St Augustine Lathe - Westgate Hundred - St Dunstan's.,1642,Protestation Returns,,,,,,St Dunstan's,"51.2850275, 1.0614587",<null>
HL/PO/JO/10/1/92/60,Protestation Return - Kent - St Augustine Lathe - Westgate Hundred - Thanington alias St Nicholas.,1642,Protestation Returns,,,,,,Thanington alias St Nicholas,<null>,<null>
HL/PO/JO/10/1/92/61,Protestation Return - Kent - St Augustine Lathe - Westgate Hundred - Walloon Congregation in and about Canterbury.,1642,Protestation Returns,,,,,,Walloon Congregation in and about Canterbury,<null>,<null>
HL/PO/JO/10/1/92/62,"Protestation Return - Kent - St Augustine Lathe - Westgate Hundred - Christ Church, Canterbury (precinct).",1642,Protestation Returns,,,,,,"Christ Church, Canterbury (precinct)",<null>,<null>
HL/PO/JO/10/1/92/63,Protestation Return - Kent - St Augustine Lathe - Westgate Hundred - Longport (borough).,1642,Protestation Returns,,,,,,Longport (borough),"51.2816568, 1.0825497",<null>
HL/PO/JO/10/1/92/64,Protestation Return - Kent - St Augustine Lathe - Whitstable Hundred - Blean otherwise St Cosmus and Damian.,1642,Protestation Returns,,,,,,Blean otherwise St Cosmus and Damian,<null>,<null>
HL/PO/JO/10/1/92/65,Protestation Return - Kent - St Augustine Lathe - Whitstable Hundred - Seasalter.,1642,Protestation Returns,,,,,,Seasalter,"51.3482196, 1.0050626",<null>
HL/PO/JO/10/1/92/66,Protestation Return - Kent - St Augustine Lathe - Whitstable Hundred - Whitstable.,1642,Protestation Returns,,,,,,Whitstable,"51.3584065, 1.0265284",<null>
HL/PO/JO/10/1/92/67,Protestation Return - Kent - St Augustine Lathe - Wingham Hundred - Ash.,1642,Protestation Returns,,,,,,Ash,"51.2809857, 1.2803063",<null>
HL/PO/JO/10/1/92/68,Protestation Return - Kent - St Augustine Lathe - Wingham Hundred - Goodnestone.,1642,Protestation Returns,,,,,,Goodnestone,"51.2467467, 1.2305291",<null>
HL/PO/JO/10/1/92/69,Protestation Return - Kent - St Augustine Lathe - Wingham Hundred - Nonington.,1642,Protestation Returns,,,,,,Nonington,"51.223678, 1.2346871",<null>
HL/PO/JO/10/1/92/70,Protestation Return - Kent - St Augustine Lathe - Wingham Hundred - Wingham.,1642,Protestation Returns,,,,,,Wingham,"51.272594, 1.2154292",<null>
HL/PO/JO/10/1/92/71,Protestation Return - Kent - St Augustine Lathe - Wingham Hundred - Womenswould.,1642,Protestation Returns,,,,,,Womenswould,<null>,<null>
HL/PO/JO/10/1/92/72,Protestation Return - Kent - Shepway Lathe - Romney Marsh Liberty - New Romney.,1642,Protestation Returns,,,,,,New Romney,"50.9851198, 0.9426566",<null>
HL/PO/JO/10/1/92/73,Protestation Return - Kent - Sutton At Hone Lathe - Certificate of justices of peace.,1642,Protestation Returns,,,,,,Certificate of justices of peace,<null>,<null>
HL/PO/JO/10/1/92/74,Protestation Return - Kent - Sutton At Hone Lathe - Axton Hundred - Sutton at Hone.,1642,Protestation Returns,,,,,,Sutton at Hone,"51.4109769, 0.2353934",<null>
HL/PO/JO/10/1/92/75,Protestation Return - Kent - Sutton At Hone Lathe - Codsheath Hundred - Brasted.,1642,Protestation Returns,,,,,,Brasted,"51.2776556, 0.1108946",<null>
HL/PO/JO/10/1/92/76,Protestation Return - Kent - Sutton At Hone Lathe - Codsheath Hundred - Chevening.,1642,Protestation Returns,,,,,,Chevening,"51.2972452, 0.1346404",<null>
HL/PO/JO/10/1/92/77,Protestation Return - Kent - Sutton At Hone Lathe - Codsheath Hundred - Halstead.,1642,Protestation Returns,,,,,,Halstead,"51.9437801, 0.6391574",<null>
HL/PO/JO/10/1/92/78,Protestation Return - Kent - Sutton At Hone Lathe - Codsheath Hundred - Leigh juxta Tunbridge.,1642,Protestation Returns,,,,,,Leigh juxta Tunbridge,<null>,<null>
HL/PO/JO/10/1/92/79,Protestation Return - Kent - Sutton At Hone Lathe - Codsheath Hundred - Otford.,1642,Protestation Returns,,,,,,Otford,"51.3125727, 0.189574",<null>
HL/PO/JO/10/1/92/80,Protestation Return - Kent - Sutton At Hone Lathe - Codsheath Hundred - Seal and Kemsing.,1642,Protestation Returns,,,,,,Seal and Kemsing,"51.2972334, 0.2474237",<null>
HL/PO/JO/10/1/92/81,Protestation Return - Kent - Sutton At Hone Lathe - Codsheath Hundred - Sevenoaks.,1642,Protestation Returns,,,,,,Sevenoaks,"51.2719654, 0.1914386",<null>
HL/PO/JO/10/1/92/82,Protestation Return - Kent - Sutton At Hone Lathe - Codsheath Hundred - Shoreham.,1642,Protestation Returns,,,,,,Shoreham,"50.8322307, -0.2746717",<null>
HL/PO/JO/10/1/92/83,Protestation Return - Kent - Sutton At Hone Lathe - Codsheath Hundred - Sundridge.,1642,Protestation Returns,,,,,,Sundridge,"51.2792625, 0.1285706",<null>
HL/PO/JO/10/1/92/84,Protestation Return - Kent - Sutton At Hone Lathe - Somerden Hundred - Chiddingstone.,1642,Protestation Returns,,,,,,Chiddingstone,"51.1859525, 0.1459135",<null>
HL/PO/JO/10/1/92/85,Protestation Return - Kent - Sutton At Hone Lathe - Somerden Hundred - Cowden.,1642,Protestation Returns,,,,,,Cowden,"51.1444632, 0.0935063",<null>
HL/PO/JO/10/1/92/86,Protestation Return - Kent - Sutton At Hone Lathe - Somerden Hundred - Groombridge.,1642,Protestation Returns,,,,,,Groombridge,"51.1150002, 0.1850719",<null>
HL/PO/JO/10/1/92/87,Protestation Return - Kent - Sutton At Hone Lathe - Somerden Hundred - Heiver.,1642,Protestation Returns,,,,,,Heiver,<null>,<null>
HL/PO/JO/10/1/92/88,Protestation Return - Kent - Sutton At Hone Lathe - Somerden Hundred - Penshurst.,1642,Protestation Returns,,,,,,Penshurst,"51.1723859, 0.1825263",<null>
HL/PO/JO/10/1/92/89,Protestation Return - Kent - Sutton At Hone Lathe - Westerham Hundred - Edenbridge.,1642,Protestation Returns,,,,,,Edenbridge,"51.1958271, 0.0639341",<null>
HL/PO/JO/10/1/92/90,Protestation Return - Kent - Sutton At Hone Lathe - Westerham Hundred - Westerham.,1642,Protestation Returns,,,,,,Westerham,"51.2671155, 0.0706133",<null>
HL/PO/JO/10/1/93/1,Protestation Return - Lancaster - Amounderness Hundred - Aston cum Hothersall.,1642,Protestation Returns,,,,,,Aston cum Hothersall,<null>,<null>
HL/PO/JO/10/1/93/2,Protestation Return - Lancaster - Amounderness Hundred - Bispham with Layton and [Black]pool.,1642,Protestation Returns,,,,,,Bispham with Layton and pool,<null>,<null>
HL/PO/JO/10/1/93/3,"Protestation Return - Lancaster - Amounderness Hundred - Bleasdale, Fulwood, and Myerscough.",1642,Protestation Returns,,,,,,"Bleasdale, Fulwood, and Myerscough",<null>,<null>
HL/PO/JO/10/1/93/4,Protestation Return - Lancaster - Amounderness Hundred - Broughton.,1642,Protestation Returns,,,,,,Broughton,"52.3834582, -0.1185857",<null>
HL/PO/JO/10/1/93/5,"Protestation Return - Lancaster - Amounderness Hundred - Garstang, with the following townships, viz.:",1642,Protestation Returns,,,,,,"Garstang, with the following townships, viz:",<null>,<null>
HL/PO/JO/10/1/93/6,Protestation Return - Lancaster - Amounderness Hundred - Barnacre.,1642,Protestation Returns,,,,,,Barnacre,"51.6442032, -1.0096399",<null>
HL/PO/JO/10/1/93/7,Protestation Return - Lancaster - Amounderness Hundred - Bilborough.,1642,Protestation Returns,,,,,,Bilborough,"52.9687304, -1.2277774",<null>
HL/PO/JO/10/1/93/8,Protestation Return - Lancaster - Amounderness Hundred - Catteral.,1642,Protestation Returns,,,,,,Catteral,<null>,<null>
HL/PO/JO/10/1/93/9,Protestation Return - Lancaster - Amounderness Hundred - Claughton.,1642,Protestation Returns,,,,,,Claughton,"54.0928069, -2.6687592",<null>
HL/PO/JO/10/1/93/10,Protestation Return - Lancaster - Amounderness Hundred - Wyersdale.,1642,Protestation Returns,,,,,,Wyersdale,"53.57607485, -2.37790665166735",<null>
HL/PO/JO/10/1/93/11,"Protestation Return - Lancaster - Amounderness Hundred - Goosnargh, Newsham, and Whittingham.",1642,Protestation Returns,,,,,,"Goosnargh, Newsham, and Whittingham",<null>,<null>
HL/PO/JO/10/1/93/12,"Protestation Return - Lancaster - Amounderness Hundred - Kirkham, and townships therein, viz:",1642,Protestation Returns,,,,,,"Kirkham, and townships therein, viz:",<null>,<null>
HL/PO/JO/10/1/93/13,Protestation Return - Lancaster - Amounderness Hundred - Bryning cum Kellamurgh.,1642,Protestation Returns,,,,,,Bryning cum Kellamurgh,<null>,<null>
HL/PO/JO/10/1/93/14,Protestation Return - Lancaster - Amounderness Hundred - Clifton cum Salwick.,1642,Protestation Returns,,,,,,Clifton cum Salwick,<null>,<null>
HL/PO/JO/10/1/93/15,Protestation Return - Lancaster - Amounderness Hundred - Frockleton.,1642,Protestation Returns,,,,,,Frockleton,<null>,<null>
HL/PO/JO/10/1/93/16,Protestation Return - Lancaster - Amounderness Hundred - Greenalgh cum Thistleton.,1642,Protestation Returns,,,,,,Greenalgh cum Thistleton,<null>,<null>
HL/PO/JO/10/1/93/17,Protestation Return - Lancaster - Amounderness Hundred - Larbrick cum Eccleston.,1642,Protestation Returns,,,,,,Larbrick cum Eccleston,<null>,<null>
HL/PO/JO/10/1/93/18,Protestation Return - Lancaster - Amounderness Hundred - Medler cum Wesham.,1642,Protestation Returns,,,,,,Medler cum Wesham,<null>,<null>
HL/PO/JO/10/1/93/19,Protestation Return - Lancaster - Amounderness Hundred - Newton cum Scales.,1642,Protestation Returns,,,,,,Newton cum Scales,<null>,<null>
HL/PO/JO/10/1/93/20,Protestation Return - Lancaster - Amounderness Hundred - Ribby cum Wrea.,1642,Protestation Returns,,,,,,Ribby cum Wrea,<null>,<null>
HL/PO/JO/10/1/93/21,Protestation Return - Lancaster - Amounderness Hundred - Singleton Magna cum Parva.,1642,Protestation Returns,,,,,,Singleton Magna cum Parva,<null>,<null>
HL/PO/JO/10/1/93/22,Protestation Return - Lancaster - Amounderness Hundred - Treals cum Roseacre.,1642,Protestation Returns,,,,,,Treals cum Roseacre,<null>,<null>
HL/PO/JO/10/1/93/23,Protestation Return - Lancaster - Amounderness Hundred - Warton.,1642,Protestation Returns,,,,,,Warton,"55.3208918, -1.9899246",<null>
HL/PO/JO/10/1/93/24,Protestation Return - Lancaster - Amounderness Hundred - Westby cum Plumptons.,1642,Protestation Returns,,,,,,Westby cum Plumptons,<null>,<null>
HL/PO/JO/10/1/93/25,Protestation Return - Lancaster - Amounderness Hundred - Weeton.,1642,Protestation Returns,,,,,,Weeton,"53.916844, -1.5650796",<null>
HL/PO/JO/10/1/93/26,Protestation Return - Lancaster - Amounderness Hundred - Wharles.,1642,Protestation Returns,,,,,,Wharles,"53.8168446, -2.8423186",<null>
HL/PO/JO/10/1/93/27,Protestation Return - Lancaster - Amounderness Hundred - Lytham.,1642,Protestation Returns,,,,,,Lytham,"52.542458, 1.7279515",<null>
HL/PO/JO/10/1/93/28,Protestation Return - Lancaster - Amounderness Hundred - Pilling.,1642,Protestation Returns,,,,,,Pilling,"53.9298051, -2.9071468",<null>
HL/PO/JO/10/1/93/29,"Protestation Return - Lancaster - Amounderness Hundred - Poulton le Fylde, including.",1642,Protestation Returns,,,,,,"Poulton le Fylde, including",<null>,<null>
HL/PO/JO/10/1/93/30,Protestation Return - Lancaster - Amounderness Hundred - Carlton.,1642,Protestation Returns,,,,,,Carlton,"51.327067, 1.0220351",<null>
HL/PO/JO/10/1/93/31,Protestation Return - Lancaster - Amounderness Hundred - Hardhorn cum Newton and Marton.,1642,Protestation Returns,,,,,,Hardhorn cum Newton and Marton,<null>,<null>
HL/PO/JO/10/1/93/32,Protestation Return - Lancaster - Amounderness Hundred - Preston.,1642,Protestation Returns,,,,,,Preston,"53.7589938, -2.7051618",<null>
HL/PO/JO/10/1/93/33,Protestation Return - Lancaster - Amounderness Hundred - St Michael on Wyre.,1642,Protestation Returns,,,,,,St Michael on Wyre,<null>,<null>
HL/PO/JO/10/1/93/34,Protestation Return - Lancaster - Amounderness Hundred - Stalmine.,1642,Protestation Returns,,,,,,Stalmine,"53.901804, -2.9535335",<null>
HL/PO/JO/10/1/93/35,Protestation Return - Lancaster - Amounderness Hundred - Wood Plumpton.,1642,Protestation Returns,,,,,,Wood Plumpton,"50.9376164, -0.0592156",<null>
HL/PO/JO/10/1/93/36,"Protestation Return - Lancaster - Blackburn Hundred - Blackburn parish and places therein, viz:",1642,Protestation Returns,,,,,,"Blackburn parish and places therein, viz:",<null>,<null>
HL/PO/JO/10/1/93/37,Protestation Return - Lancaster - Blackburn Hundred - Balderston.,1642,Protestation Returns,,,,,,Balderston,"52.6340835, 1.2948416",<null>
HL/PO/JO/10/1/93/38,Protestation Return - Lancaster - Blackburn Hundred - Billington.,1642,Protestation Returns,,,,,,Billington,"51.8960148, -0.6336747",<null>
HL/PO/JO/10/1/93/39,Protestation Return - Lancaster - Blackburn Hundred - Clayton le Dale.,1642,Protestation Returns,,,,,,Clayton le Dale,"53.7904653, -2.5154677",<null>
HL/PO/JO/10/1/93/40,"Protestation Return - Lancaster - Blackburn Hundred - Darwen, Lower.",1642,Protestation Returns,,,,,,"Darwen, Lower","53.697269, -2.5300234",<null>
HL/PO/JO/10/1/93/41,"Protestation Return - Lancaster - Blackburn Hundred - Darwen, Over.",1642,Protestation Returns,,,,,,"Darwen, Over",<null>,<null>
HL/PO/JO/10/1/93/42,Protestation Return - Lancaster - Blackburn Hundred - Lipshire [Wilpshire] cum Dinkley.,1642,Protestation Returns,,,,,,Lipshire  cum Dinkley,<null>,<null>
HL/PO/JO/10/1/93/43,Protestation Return - Lancaster - Blackburn Hundred - Little Harwood.,1642,Protestation Returns,,,,,,Little Harwood,"53.7596845, -2.4613726",<null>
HL/PO/JO/10/1/93/44,Protestation Return - Lancaster - Blackburn Hundred - Livesey.,1642,Protestation Returns,,,,,,Livesey,"53.7181789, -2.5261304",<null>
HL/PO/JO/10/1/93/45,Protestation Return - Lancaster - Blackburn Hundred - Mellor cum Eccleshill.,1642,Protestation Returns,,,,,,Mellor cum Eccleshill,<null>,<null>
HL/PO/JO/10/1/93/46,Protestation Return - Lancaster - Blackburn Hundred - Osbaldeston.,1642,Protestation Returns,,,,,,Osbaldeston,"53.7829336, -2.5379808",<null>
HL/PO/JO/10/1/93/47,Protestation Return - Lancaster - Blackburn Hundred - Pleasington.,1642,Protestation Returns,,,,,,Pleasington,"53.7310002, -2.5443373",<null>
HL/PO/JO/10/1/93/48,Protestation Return - Lancaster - Blackburn Hundred - Risheton.,1642,Protestation Returns,,,,,,Risheton,<null>,<null>
HL/PO/JO/10/1/93/49,Protestation Return - Lancaster - Blackburn Hundred - Salisbuerie [Salesbury].,1642,Protestation Returns,,,,,,Salisbuerie ,<null>,<null>
HL/PO/JO/10/1/93/50,Protestation Return - Lancaster - Blackburn Hundred - Samlesbury.,1642,Protestation Returns,,,,,,Samlesbury,"53.7685935, -2.6189822",<null>
HL/PO/JO/10/1/93/51,Protestation Return - Lancaster - Blackburn Hundred - Walton in the Dale and Overdale [Cuerdale].,1642,Protestation Returns,,,,,,Walton in the Dale and Overdale ,<null>,<null>
HL/PO/JO/10/1/93/52,Protestation Return - Lancaster - Blackburn Hundred - Tock[h]oles.,1642,Protestation Returns,,,,,,Tockoles,<null>,<null>
HL/PO/JO/10/1/93/53,Protestation Return - Lancaster - Blackburn Hundred - Witton.,1642,Protestation Returns,,,,,,Witton,"52.5122032, -1.8839156",<null>
HL/PO/JO/10/1/93/54,Protestation Return - Lancaster - Blackburn Hundred - Yate with Pictoppbanke [Pick - up - Bank].,1642,Protestation Returns,,,,,,Bank],"51.5133798, -0.0889552",<null>
HL/PO/JO/10/1/93/55,Protestation Return - Lancaster - Blackburn Hundred - List of certain of the Inhabitants of some of the above - named places who refuse to take the protestation.,1642,Protestation Returns,,,,,,named places who refuse to take the protestation,<null>,<null>
HL/PO/JO/10/1/94/1,Protestation Return - Lancaster - Chipping.,1642,Protestation Returns,,,,,,Chipping,"51.9707015, -0.028365",<null>
HL/PO/JO/10/1/94/2,"Protestation Return - Lancaster - Ribchester, including Alston, Dilworth, and Dutton.",1642,Protestation Returns,,,,,,"Ribchester, including Alston, Dilworth, and Dutton",<null>,<null>
HL/PO/JO/10/1/94/3,"Protestation Return - Lancaster - Whalley, parish and places therein, viz.:",1642,Protestation Returns,,,,,,"Whalley, parish and places therein, viz:",<null>,<null>
HL/PO/JO/10/1/94/4,Protestation Return - Lancaster - Accrington.,1642,Protestation Returns,,,,,,Accrington,"53.7541156, -2.3655434",<null>
HL/PO/JO/10/1/94/5,Protestation Return - Lancaster - Altham.,1642,Protestation Returns,,,,,,Altham,"53.7924398, -2.3530292",<null>
HL/PO/JO/10/1/94/6,Protestation Return - Lancaster - Aighton Bailey.,1642,Protestation Returns,,,,,,Aighton Bailey,"53.8558414, -2.4997926",<null>
HL/PO/JO/10/1/94/7,Protestation Return - Lancaster - Bacobb [Bacup].,1642,Protestation Returns,,,,,,Bacobb ,<null>,<null>
HL/PO/JO/10/1/94/8,Protestation Return - Lancaster - Breacliffe [Briercliffe].,1642,Protestation Returns,,,,,,Breacliffe ,<null>,<null>
HL/PO/JO/10/1/94/9,Protestation Return - Lancaster - Burnley.,1642,Protestation Returns,,,,,,Burnley,"53.7907262, -2.2439196",<null>
HL/PO/JO/10/1/94/10,Protestation Return - Lancaster - Chadgley [Chaigley].,1642,Protestation Returns,,,,,,Chadgley ,<null>,<null>
HL/PO/JO/10/1/94/11,Protestation Return - Lancaster - Chatburn.,1642,Protestation Returns,,,,,,Chatburn,"53.8919482, -2.3543148",<null>
HL/PO/JO/10/1/94/12,Protestation Return - Lancaster - Church Kirk with Osbaldwistle.,1642,Protestation Returns,,,,,,Church Kirk with Osbaldwistle,<null>,<null>
HL/PO/JO/10/1/94/13,Protestation Return - Lancaster - Clayton supra Moras.,1642,Protestation Returns,,,,,,Clayton supra Moras,<null>,<null>
HL/PO/JO/10/1/94/14,Protestation Return - Lancaster - Clitheroe (borough).,1642,Protestation Returns,,,,,,Clitheroe (borough),"53.8717465, -2.3926783",<null>
HL/PO/JO/10/1/94/15,Protestation Return - Lancaster - Cliverger.,1642,Protestation Returns,,,,,,Cliverger,<null>,<null>
HL/PO/JO/10/1/94/16,"Protestation Return - Lancaster - Colne Trawden, etc.",1642,Protestation Returns,,,,,,"Colne Trawden, etc",<null>,<null>
HL/PO/JO/10/1/94/17,Protestation Return - Lancaster - Downham.,1642,Protestation Returns,,,,,,Downham,"55.5994582, -2.2155573",<null>
HL/PO/JO/10/1/94/18,Protestation Return - Lancaster - Dunkinhalgh [Dunnockshaw].,1642,Protestation Returns,,,,,,Dunkinhalgh ,<null>,<null>
HL/PO/JO/10/1/94/19,Protestation Return - Lancaster - Extwistle.,1642,Protestation Returns,,,,,,Extwistle,"53.7996206, -2.1537231",<null>
HL/PO/JO/10/1/94/20,Protestation Return - Lancaster - Filley Close.,1642,Protestation Returns,,,,,,Filley Close,"51.0176786, -2.3424943",<null>
HL/PO/JO/10/1/94/21,Protestation Return - Lancaster - Goodshawe [Goldshaw].,1642,Protestation Returns,,,,,,Goodshawe ,<null>,<null>
HL/PO/JO/10/1/94/22,Protestation Return - Lancaster - Habergham Eaves.,1642,Protestation Returns,,,,,,Habergham Eaves,"53.7689451, -2.2583834",<null>
HL/PO/JO/10/1/94/23,Protestation Return - Lancaster - Hapton.,1642,Protestation Returns,,,,,,Hapton,"53.7815759, -2.3169319",<null>
HL/PO/JO/10/1/94/24,Protestation Return - Lancaster - Haslingden.,1642,Protestation Returns,,,,,,Haslingden,"53.7055652, -2.3259359",<null>
HL/PO/JO/10/1/94/25,Protestation Return - Lancaster - Heyhouses.,1642,Protestation Returns,,,,,,Heyhouses,"53.7526349, -2.9930948",<null>
HL/PO/JO/10/1/94/26,Protestation Return - Lancaster - Ightonhill Park.,1642,Protestation Returns,,,,,,Ightonhill Park,<null>,<null>
HL/PO/JO/10/1/94/27,Protestation Return - Lancaster - Mearley.,1642,Protestation Returns,,,,,,Mearley,"53.8714253, -2.3841107",<null>
HL/PO/JO/10/1/94/28,"Protestation Return - Lancaster - Mitton, Henthorne, and Colcotes.",1642,Protestation Returns,,,,,,"Mitton, Henthorne, and Colcotes",<null>,<null>
HL/PO/JO/10/1/94/29,"Protestation Return - Lancaster - New Church, Rossendale.",1642,Protestation Returns,,,,,,"New Church, Rossendale","53.7241329, -2.2439659",<null>
HL/PO/JO/10/1/94/30,Protestation Return - Lancaster - New Church in Pendle.,1642,Protestation Returns,,,,,,New Church in Pendle,<null>,<null>
HL/PO/JO/10/1/94/31,Protestation Return - Lancaster - Pediham.,1642,Protestation Returns,,,,,,Pediham,<null>,<null>
HL/PO/JO/10/1/94/32,Protestation Return - Lancaster - Pendle.,1642,Protestation Returns,,,,,,Pendle,"53.8785095, -2.17149729581634",<null>
HL/PO/JO/10/1/94/33,Protestation Return - Lancaster - Pendleton.,1642,Protestation Returns,,,,,,Pendleton,"53.4892329, -2.2841576",<null>
HL/PO/JO/10/1/94/34,Protestation Return - Lancaster - Reade.,1642,Protestation Returns,,,,,,Reade,"51.6756711, -1.2655142",<null>
HL/PO/JO/10/1/94/35,Protestation Return - Lancaster - Reedley Hallows.,1642,Protestation Returns,,,,,,Reedley Hallows,"53.8098092, -2.2424235",<null>
HL/PO/JO/10/1/94/36,Protestation Return - Lancaster - Simonstone.,1642,Protestation Returns,,,,,,Simonstone,"53.8042553, -2.345883",<null>
HL/PO/JO/10/1/94/37,Protestation Return - Lancaster - Wiswell.,1642,Protestation Returns,,,,,,Wiswell,"53.8324942, -2.3881635",<null>
HL/PO/JO/10/1/94/38,Protestation Return - Lancaster - Worsthorn cum Hurstwood.,1642,Protestation Returns,,,,,,Worsthorn cum Hurstwood,<null>,<null>
HL/PO/JO/10/1/94/39,Protestation Return - Lancaster - Worston.,1642,Protestation Returns,,,,,,Worston,"53.8803585, -2.353494",<null>
HL/PO/JO/10/1/94/40,Protestation Return - Lancaster - Leyland Hundred - Brindhill [Brindle].,1642,Protestation Returns,,,,,,Brindhill ,<null>,<null>
HL/PO/JO/10/1/94/41,Protestation Return - Lancaster - Leyland Hundred - Chorley.,1642,Protestation Returns,,,,,,Chorley,"53.6531979, -2.6294742",<null>
HL/PO/JO/10/1/94/42,"Protestation Return - Lancaster - Leyland Hundred - Croston, with.",1642,Protestation Returns,,,,,,"Croston, with","53.7483286, -2.4561624",<null>
HL/PO/JO/10/1/94/43,Protestation Return - Lancaster - Leyland Hundred - Bretherton.,1642,Protestation Returns,,,,,,Bretherton,"53.6799263, -2.7985303",<null>
HL/PO/JO/10/1/94/44,Protestation Return - Lancaster - Leyland Hundred - Byspham.,1642,Protestation Returns,,,,,,Byspham,<null>,<null>
HL/PO/JO/10/1/94/45,Protestation Return - Lancaster - Leyland Hundred - Hesketh cum Beconsfaild [Becconsall].,1642,Protestation Returns,,,,,,Hesketh cum Beconsfaild ,<null>,<null>
HL/PO/JO/10/1/94/46,Protestation Return - Lancaster - Leyland Hundred - Mawdesley.,1642,Protestation Returns,,,,,,Mawdesley,"53.6269743, -2.7669353",<null>
HL/PO/JO/10/1/94/47,Protestation Return - Lancaster - Leyland Hundred - Rufford.,1642,Protestation Returns,,,,,,Rufford,"53.6346539, -2.8165363",<null>
HL/PO/JO/10/1/94/48,Protestation Return - Lancaster - Leyland Hundred - Tarleton.,1642,Protestation Returns,,,,,,Tarleton,"53.6794625, -2.8301134",<null>
HL/PO/JO/10/1/94/49,Protestation Return - Lancaster - Leyland Hundred - Walton.,1642,Protestation Returns,,,,,,Walton,"52.6048238, -0.2645448",<null>
HL/PO/JO/10/1/94/50,"Protestation Return - Lancaster - Leyland Hundred - Eccleston, with.",1642,Protestation Returns,,,,,,"Eccleston, with","53.5657227, -1.0635123",<null>
HL/PO/JO/10/1/94/51,Protestation Return - Lancaster - Leyland Hundred - Heskin.,1642,Protestation Returns,,,,,,Heskin,"53.6321484, -2.708589",<null>
HL/PO/JO/10/1/94/52,Protestation Return - Lancaster - Leyland Hundred - Parbold.,1642,Protestation Returns,,,,,,Parbold,"53.593266, -2.7686442",<null>
HL/PO/JO/10/1/94/53,Protestation Return - Lancaster - Leyland Hundred - Wrightington.,1642,Protestation Returns,,,,,,Wrightington,"53.6158555, -2.7058369",<null>
HL/PO/JO/10/1/94/54,Protestation Return - Lancaster - Leyland Hundred - Hoole.,1642,Protestation Returns,,,,,,Hoole,"53.2008848, -2.8745633",<null>
HL/PO/JO/10/1/94/55,"Protestation Return - Lancaster - Leyland Hundred - Leyland, with.",1642,Protestation Returns,,,,,,"Leyland, with","51.9815012, -1.0151514",<null>
HL/PO/JO/10/1/94/56,Protestation Return - Lancaster - Leyland Hundred - Clayton.,1642,Protestation Returns,,,,,,Clayton,"53.7814093, -1.8181026",<null>
HL/PO/JO/10/1/94/57,Protestation Return - Lancaster - Leyland Hundred - Cuerden.,1642,Protestation Returns,,,,,,Cuerden,"53.7118798, -2.6837939",<null>
